"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"992","032","30MonoWAV/30MonoH1.wav","positive","high",1,5,"ANGRY",12,0,12,2,2,2,1,"happy",1,1,1,1,1,2,1,1,1,1,1,2,NA
"993","032","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ASHAMED",13,0,13,3,1,1,2,"fear",2,2,3,3,1,1,1,1,1,2,1,1,NA
"994","032","30MonoWAV/30MonoS2.wav","negative","low",3,10,"SAD",14,0,14,2,1,1,2,"sad",1,1,1,1,1,1,1,2,1,1,2,1,NA
"995","032","30MonoWAV/30MonoS1.wav","negative","low",3,9,"SAD",15,0,15,1,1,1,2,"sad",1,1,1,1,1,1,1,2,1,1,2,1,NA
"996","032","30MonoWAV/30MonoF1.wav","negative","high",2,1,"TENDER",0,1,16,2,1,1,1,"fear",1,1,1,2,1,1,1,1,1,1,1,1,NA
"997","032","30MonoWAV/30MonoF2.wav","negative","high",2,2,"ALERT",1,1,17,2,1,1,1,"fear",1,1,1,1,1,1,1,1,1,1,1,1,NA
"998","032","30MonoWAV/30MonoS2.wav","negative","low",3,10,"ALERT",2,1,18,1,1,1,1,"sad",1,1,1,1,1,1,1,1,1,1,1,1,NA
"999","032","30MonoWAV/30MonoS1.wav","negative","low",3,9,"ACTIVE",3,1,19,1,1,1,1,"sad",1,1,1,1,1,1,1,1,1,1,1,1,NA
"1000","032","30MonoWAV/30MonoH4.wav","positive","high",1,8,"HAPPY",4,1,20,2,2,3,2,"happy",1,1,1,1,1,2,2,1,1,1,1,2,NA
"1001","032","30MonoWAV/30MonoF3.wav","negative","high",2,3,"ANGRY",5,1,21,2,1,1,1,"fear",1,1,1,1,1,1,1,1,1,1,1,1,NA
"1002","032","30MonoWAV/30MonoH2.wav","positive","high",1,6,"HAPPY",6,1,22,1,1,2,1,"happy",1,1,1,1,1,1,1,1,1,1,1,1,NA
"1003","032","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ANXIOUS",7,1,23,2,3,2,1,"happy",1,1,1,1,1,2,2,1,1,1,1,1,NA
"1004","032","30MonoWAV/30MonoT1.wav","positive","low",4,13,"ASHAMED",8,1,24,1,2,2,1,"tender",1,1,1,1,1,1,1,1,1,1,1,1,NA
